SPECIES_CLEAN;SPECIES_AI_Correct;Justification
AEDES ALBOPICTUS;Aedes (Stegomyia) albopictus (Skuse, 1894);"Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases."
ANOPHELES ALBITARSIS;Anopheles (Nyssorhynchus) albitarsis Lynch Arribálzaga, 1878.;Anopheles albitarsis is a valid species and the nominal member of the Albitarsis Complex within the subgenus Nyssorhynchus. Historically treated as a single polymorphic species, integrated taxonomic approaches—including DNA barcoding (COI), ITS2 sequencing, and morphological analysis—have revealed it to be a species complex currently comprising several distinct lineages (e.g., An. albitarsis s.s., An. deaneorum, An. marajoara, An. oryzivorus, and An. janconnae). The name remains taxonomically stable for the populations corresponding to the original description by Lynch Arribálzaga in Argentina.
ANOPHELES NOROESTENSIS;Anopheles (Nyssorhynchus) evansae (Brèthes, 1926);Anopheles noroesteensis Galvão & Lane, 1937 is currently treated as a junior synonym of Anopheles (Nyssorhynchus) evansae (Brèthes, 1926). The species was originally described based on morphological characters of the eggs and male genitalia from specimens collected in São Paulo, Brazil. However, subsequent taxonomic revisions, most notably by Lane (1953), established the synonymy after comparing the type material and recognizing that the morphological variations fell within the range of An. evansae. This classification is maintained in the current mosquito taxonomic catalogs, including the Walter Reed Biosystematics Unit (WRBU).
ANOPHELES STRODEI;Anopheles (Nyssorhynchus) strodei Root, 1926.;Anopheles strodei is a valid species within the subgenus Nyssorhynchus, belonging to the Argyritarsis section and the Albitarsis series. Morphological and molecular studies (COI, ITS2, and white gene) have demonstrated that what was previously considered a single species is actually a complex of several cryptic species. Revisions by Sallum et al. (2010) and Bourke et al. (2013) clarified the taxonomy of the Anopheles strodei subgroup, resulting in the description or resurrection of related taxa such as An. albertoi, An. arthuri, and An. rondoni. However, Anopheles strodei sensu stricto remains the valid name for the nominate taxon within this subgroup.
ANOPHELES EVANSAE;Anopheles (Nyssorhynchus) evansae (Brèthes, 1926);"Anopheles evansae is a valid species belonging to the Argyritarsis Section, Oswaldoi Group, and Strodei Subgroup of the subgenus Nyssorhynchus. It was originally described as Cellia evansae by Brèthes in 1926. For several decades, there was taxonomic confusion between this species and Anopheles strodei; however, morphological studies of the male genitalia and larval characters, supported by molecular data, have confirmed its status as a distinct taxon. Current phylogenetic classifications maintain it within the subgenus Nyssorhynchus, although some authors propose elevating Nyssorhynchus to genus level."
ANOPHELES ARGYRITARSIS;Anopheles (Nyssorhynchus) argyritarsis Robineau-Desvoidy, 1827.;Anopheles argyritarsis is the nominotypical member of the Argyritarsis Section within the subgenus Nyssorhynchus. Since its original description by Robineau-Desvoidy in 1827, the species has maintained taxonomic stability, although it was historically confused with other members of the white-tarsus group (such as An. albitarsis). It is distinguished from closely related species by the pattern of scaling on the second hindtarsomere and specific male genitalia characters. It is widely distributed across the Neotropical region, from southern Mexico to northern Argentina and the Lesser Antilles.
ANOPHELES PARVUS;Anopheles (Lophopodomyia) parvus (Chagas, 1908);"his species was originally described by Carlos Chagas in 1908 under the name Myzorhynchella parva, based on specimens collected in Brazil. Following the taxonomic revision of the genus Anopheles and the dissolution of Myzorhynchella as a separate genus, the species was reassigned. It is currently placed within the subgenus Lophopodomyia Antunes, 1937. The validity of the species and its current taxonomic position are supported by the morphological characteristics of the adult female wing scales and male genitalia (Chagas, 1908; Lane, 1953)."
ANOPHELES DARLINGI;Anopheles (Nyssorhynchus) darlingi Root, 1926.;"The species was originally described by Francis Metcalf Root in 1926 based on specimens collected in Brazil. It is classified within the family Culicidae, subfamily Anophelinae, genus Anopheles, and subgenus Nyssorhynchus. It belongs to the Argyritarsis Section and the Darlingi Series. Although some recent molecular phylogenies have proposed elevating Nyssorhynchus to the genus level (Foster et al., 2017), the taxonomic standard maintained by the Walter Reed Biosystematics Unit (WRBU) and major Neotropical mosquito databases continues to recognize it as a subgenus within Anopheles (Root, 1926; Harbach, 2024)."
ANOPHELES OSWALDOI;Anopheles (Nyssorhynchus) oswaldoi (Peryassú, 1922);"Originally described by Peryassú (1922) as Cellia oswaldoi, the species was subsequently moved to the genus Anopheles and the subgenus Nyssorhynchus. Modern taxonomic revisions and molecular analyses have identified that Anopheles oswaldoi is a species complex (sensu lato) comprising at least four to seven cryptic species across South and Central America. The name remains valid for the taxon described from the type locality in Brazil, while other members of the complex are often referred to as species A, B, or under specific names like An. oswaldoi s.s. (Motoki et al., 2007; Ruiz-Lopez et al., 2013)."
ANOPHELES FLUMINENSIS;Anopheles (Anopheloides) fluminensis Root, 1927;Anopheles fluminensis is a valid species belonging to the Arribalzagia Series of the subgenus Anopheloides. It was originally described by Root (1927) based on specimens collected in the state of Rio de Janeiro, Brazil. Morphologically, it is closely related to Anopheles intermedius, but it can be distinguished by specific patterns in the wing maculation and male genitalia characteristics (specifically the structure of the ventral lobe of the claspette). While some historical confusion existed within the Arribalzagia series, modern integrated taxonomy (morphological and molecular) maintains its status as a distinct evolutionary lineage.
ANOPHELES TRIANNULATUS;Anopheles (Nyssorhynchus) triannulatus (Neiva & Pinto, 1922);The species was originally described as Chagasia triannulata by Neiva and Pinto in 1922. It was later reassigned to the genus Anopheles and placed within the subgenus Nyssorhynchus. Morphological and molecular studies have identified it as a species complex (Anopheles triannulatus complex), which currently includes An. triannulatus s.s., An. halophylus, and An. homunculus. According to the internal classification of the Nyssorhynchus subgenus, it belongs to the Argyritarsis Section and the Albimanus Series. The validity of the name is maintained in the most recent taxonomic catalogs of Culicidae (Harbach, 2024).
ANOPHELES GALVAOI;Anopheles (Nyssorhynchus) galvaoi Causey, Deane & Deane, 1943.;The species was formally described by Causey, Deane, and Deane (1943) based on specimens collected in the state of Acre, Brazil. The identification was primarily supported by the distinct morphology of the eggs and male genitalia. It is classified within the Nyssorhynchus subgenus, specifically within the Albimanus Section. Taxonomic revisions, such as those by Faran (1980), have upheld its status as a valid species, distinguishing it from closely related taxa like Anopheles goeldii and Anopheles inamollae based on wing spot patterns and larval chaetotaxy.
ANOPHELES RONDONI;Anopheles (Nyssorhynchus) rondoni (Neiva & Pinto, 1922);"Anopheles rondoni is a valid species originally described as Cellia rondoni by Neiva and Pinto (1922). It belongs to the Argyritarsis Section of the subgenus Nyssorhynchus. The species is morphologically distinguished from closely related taxa, such as Anopheles strodei and Anopheles darlingi, by the presence of a characteristic dark spot at the base of the third hindtarsomere and specific wing macula patterns. Its taxonomic status as a distinct species has been upheld through morphological revisions and molecular phylogenetic analyses (Forattini, 2002; Bourke et al., 2013)."
ANOPHELES NUNEZTOVARI;Anopheles (Nyssorhynchus) nuneztovari Gabaldón, 1940.;"The species was formally described by Arnoldo Gabaldón in 1940. It is currently recognized as a species complex (Anopheles nuneztovari sensu lato), which includes several morphologically similar but genetically distinct lineages, such as Anopheles nuneztovari s.s., An. goeldii, and An. dunhami. Despite the ongoing taxonomic refinements using molecular tools, Anopheles nuneztovari remains a valid and widely accepted name for this group of significant Neotropical malaria vectors (Gabaldón, 1940; Conn et al., 1993)."
ANOPHELES LUTZII;Anopheles (Kerteszia) lutzii Cruz, 1901;"The species was originally described by Oswaldo G. Cruz in 1901. It belongs to the subgenus Kerteszia, a group of Neotropical mosquitoes whose larvae typically develop in the water held by bromeliads. Historically, there was taxonomic confusion involving Anopheles lutzii Theobald, 1901; however, Theobald's name is considered a junior homonym and is often treated as a synonym of Anopheles (Nyssorhynchus) albitarsis or associated with Anopheles cruzii. The name Anopheles (Kerteszia) lutzii Cruz, 1901 remains the valid nomenclature for this specific taxon within the Kerteszia subgenus (Zavortink, 1973)."
