DEPARTAMENTO,DISTRITO,LOCALIDAD,ANO,FECHA,ENFERMEDAD,ESPECIE,UTM_ZONA,UTM_HEMISFERIO,UTM_X,UTM_Y,LAT,LONG,TIPO_DE_GEORREFERENCIACION
BOQUERON,FILADELFIA,PRIMAVERA,2018,,FIEBRE AMARILLA,HAEMAGOGUS (HAEMAGOGUS) SPEGAZZINII,21,S,,,-22.38447,-60.02718,DATOS CONSIGNADOS EN GABINETE CENTROIDE DE LOCALIDAD
BOQUERON,FILADELFIA,PRIMAVERA,2018,,FIEBRE AMARILLA,PSOROPHORA (JANTHINOSOMA) FEROX,21,S,,,-22.38447,-60.02718,DATOS CONSIGNADOS EN GABINETE CENTROIDE DE LOCALIDAD
BOQUERON,FILADELFIA,LA AMISTAD,2018,,FIEBRE AMARILLA,OCHLEROTATUS (CHRYSOCONOPS) FULVUS,21,S,,,-22.362606,-60.020807,DATOS CONSIGNADOS EN GABINETE CENTROIDE DE LOCALIDAD
PRESIDENTE HAYES,VILLA HAYES,POZO COLORADO,2022,2022-9-22,FIEBRE AMARILLA,HAEMAGOGUS (HAEMAGOGUS) SPEGAZZINII,21,S,,,-23.502388,-58.783191,DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD
PRESIDENTE HAYES,VILLA HAYES,POZO COLORADO,2022,2022-9-20,FIEBRE AMARILLA,HAEMAGOGUS (HAEMAGOGUS) SPEGAZZINII,21,S,,,-23.4919568,-58.7150808,DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2020,2020-8-26,FIEBRE AMARILLA,OCHLEROTATUS (OCHLEROTATUS) SCAPULARIS,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2020,2020-8-27,FIEBRE AMARILLA,OCHLEROTATUS (OCHLEROTATUS) SCAPULARIS,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN GABINETE CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2020,2020-8-28,FIEBRE AMARILLA,OCHLEROTATUS (OCHLEROTATUS) SCAPULARIS,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN GABINETE CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2020,2020-8-28,FIEBRE AMARILLA,OCHLEROTATUS (COMPLEJO)SERRATUS,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN GABINETE CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2020,2020-8-29,FIEBRE AMARILLA,OCHLEROTATUS (OCHLEROTATUS) SCAPULARIS,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2019,2019-11-14,FIEBRE AMARILLA,OCHLEROTATUS (COMPLEJO)SERRATUS,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2019,2019-11-14,FIEBRE AMARILLA,PSOROPHORA (JANTHINOSOMA) ALBIGENU,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD
NEEMBUCU,PILAR,SAN VICENTE,2019,2019-11-14,FIEBRE AMARILLA,PSOROPHORA (JANTHINOSOMA) FEROX,21,S,,,-26.8478,-58.2979,DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD
