DEPARTAMENTO,DISTRITO,LOCALIDAD,ANO,FECHA,ENFERMEDAD,ESPECIE,UTM_ZONA,UTM_HEMISFERIO,UTM_X,UTM_Y,LAT,LONG,TIPO_DE_GEORREFERENCIACION
CENTRAL,ASUNCION,SANTA_ANA,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7200165.618,434791.7553,-25.31363419,-57.64784931,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E1
CENTRAL,ASUNCION,SANTA_ANA,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7200197.691,434813.4911,-25.31334551,-57.64763183,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E1
CENTRAL,ASUNCION,SANTA_ANA,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7200049.419,434761.7242,-25.31468217,-57.64815324,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E1
CENTRAL,ASUNCION,SANTA_ANA,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7200009.652,434587.2541,-25.31503364,-57.64988846,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_2E1
CENTRAL,ASUNCION,SANTA_ANA,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7199897.844,434745.1441,-25.31605019,-57.64832524,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E1
CENTRAL,ASUNCION,SAN_CAYETANO,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7199531.091,435128.5404,-25.31937872,-57.64453381,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_1E1
CENTRAL,ASUNCION,SAN_CAYETANO,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7199544.71,435112.3023,-25.31925503,-57.64469449,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_1E1
CENTRAL,ASUNCION,SANTA_ANA,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7199844.353,434550.969,-25.31652472,-57.65025691,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_2E1
CENTRAL,ASUNCION,SANTA_ANA,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7199755.597,434325.355,-25.31731629,-57.65250263,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_2E1
CENTRAL,ASUNCION,SAN_CAYETANO,2018,2018-04-03,DENGUE,AEDES AEGYPTI,21,S,7199451.44,434930.068,-25.32008934,-57.64650946,ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_2E1
