DEPARTAMENTO,DISTRITO,LOCALIDAD,ANO,FECHA,ENFERMEDAD,ESPECIE,UTM_ZONA,UTM_HEMISFERIO,UTM_X,UTM_Y,LAT,LONG,TIPO_DE_GEORREFERENCIACION
ALTO PARANA,CIUDAD DEL ESTE,BOQUERON,1998,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,739214,7174849,-25.5243384850819,-54.6196558291924,GABINETE
ALTO PARANA,MBARACUAYU,PUERTO INDIO,1998,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,754347,7241241,-24.9228259785297,-54.4815574967308,GABINETE
ALTO PARANA,MINGA GUAZU,,1998,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,716973,7177363,-25.5050798079616,-54.841244039619,GABINETE
ALTO PARANA,HERNNANDARIAS,CANTERO DE ITAIPU,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,738607,7186883,-25.4158568379594,-54.6278236148938,GABINETE
ALTO PARANA,HERNNANDARIAS,ROMERO CUE,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,736315,7197811,-25.3176191371733,-54.6525017253725,GABINETE
BOQUERON,MARISCAL ESTIGARRIBIA,FILADELFIA,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,188523,7524356,-22.3585564507294,-60.0242373355987,GABINETE
BOQUERON,MARISCAL ESTIGARRIBIA,LOMA PLATA,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,209480,7522010,-22.3833971769658,-59.8213813739427,GABINETE
CENTRAL,VILLA ELISA,MBOCAYATY,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,442019,7192422,-25.3838588279964,-57.5763804215462,GABINETE
CANINDEYU,FRANCISCO CABALLERO ALVAREZ,,2001,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,737564,7326638,-24.1549137191981,-54.6619519943512,GABINETE
GUAIRA,NUMI,MICROCENTRO,2001,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,567479,7129878,-25.9482091640274,-56.3260386033919,GABINETE
ALTO PARANA,CIUDAD DEL ESTE,PABLO ROJAS,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,738533,7177355,-25.5018375407238,-54.6268724467035,GABINETE
ALTO PARANA,CIUDAD DEL ESTE,AREA 8,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,737781,7174550,-25.5272671746176,-54.6338525487398,GABINETE
CANINDEYU,LA PALOMA,MICROCENTRO,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,742148,7329168,-24.1313844879536,-54.6172910507249,GABINETE
CANINDEYU,SALTO DEL GUAIRA,MICROCENTRO,2002,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,773153,7336440,-24.0607114413934,-54.3138218883143,GABINETE
