DEPARTAMENTO,DISTRITO,LOCALIDAD,ANO,FECHA,ENFERMEDAD,ESPECIE,UTM_ZONA,UTM_HEMISFERIO,UTM_X,UTM_Y,LAT,LONG,TIPO_DE_GEORREFERENCIACION
CORDILLERA,SAN BERNARDINO,CIERVO CUA,2009,2009-04-27,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.2813518966742,-57.300926702336,""
CORDILLERA,SAN BERNARDINO,CIERVO CUA,2009,2009-04-27,MALARIA,ANOPHELES NOROESTENSIS,21,S,,,-25.2813518966742,-57.300926702336,""
CORDILLERA,SAN BERNARDINO,CIERVO CUA,2009,2009-04-27,MALARIA,ANOPHELES STRODEI,21,S,,,-25.2813518966742,-57.300926702336,""
CORDILLERA,SAN BERNARDINO,CIERVO CUA,2009,2009-04-27,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.2838301041681,-57.2990555359185,""
CORDILLERA,SAN BERNARDINO,CIERVO CUA,2009,2009-04-27,MALARIA,ANOPHELES NOROESTENSIS,21,S,,,-25.2838301041681,-57.2990555359185,""
CORDILLERA,SAN BERNARDINO,CIERVO CUA,2009,2009-04-27,MALARIA,ANOPHELES STRODEI,21,S,,,-25.2838301041681,-57.2990555359185,""
SAN PEDRO,GUAYAIBI,SAN PEDRO,2009,2009-04-24,MALARIA,ANOPHELES STRODEI,21,S,,,-24.389721106395,-56.3858706475818,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES STRODEI,21,S,,,-24.9065650716961,-54.488696429785,""
SAN PEDRO,GUAYAIBI,SAN PEDRO,2009,2009-04-24,MALARIA,ANOPHELES STRODEI,21,S,,,-24.3837396626975,-56.354818192498,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES STRODEI,21,S,,,-24.9182494784424,-54.4970603403902,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES EVANSAE,21,S,,,-24.9065650716961,-54.488696429785,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-24.9063458200989,-54.4576568021504,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES ARGYRITARSIS,21,S,,,-24.9063458200989,-54.4576568021504,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES STRODEI,21,S,,,-24.9063458200989,-54.4576568021504,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES EVANSAE,21,S,,,-24.9063458200989,-54.4576568021504,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES (COMPLEJO) ALBITARSIS,21,S,,,-24.9063458200989,-54.4576568021504,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES EVANSAE,21,S,,,-24.9182494784424,-54.4970603403902,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-24.9182494784424,-54.4970603403902,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES ARGYRITARSIS,21,S,,,-24.9182494784424,-54.4970603403902,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES STRODEI,21,S,,,-24.9182494784424,-54.4970603403902,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES EVANSAE,21,S,,,-24.9182494784424,-54.4970603403902,""
ALTO PARANA,MBARACAYU,PRIMER GOBERNADOR,2009,2009-12-04,MALARIA,ANOPHELES (COMPLEJO) ALBITARSIS,21,S,,,-24.9182494784424,-54.4970603403902,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.4638196682825,-54.6379291458631,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES STRODEI,21,S,,,-25.4638196682825,-54.6379291458631,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.4733318836257,-54.6412431869208,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES ARGYRITARSIS,21,S,,,-25.4733318836257,-54.6412431869208,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES PARVUS,21,S,,,-25.4733318836257,-54.6412431869208,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES EVANSAE,21,S,,,-25.4733318836257,-54.6412431869208,""
CENTRAL,LIMPIO,PIQUETE CUE,2010,2010-01-08,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.1097671421195,-57.4877274185946,""
CENTRAL,ITA,SAN ANTONIO,2010,2010-01-22,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.5157639491085,-57.3655178914655,""
CAAGUAZU,RAUL ARSENIO OVIEDO,SANTA TERESA,2010,2010-10-22,MALARIA,ANOPHELES DARLINGI,21,S,,,-25.0783115174158,-55.6099438384605,""
CAAGUAZU,RAUL ARSENIO OVIEDO,SANTA TERESA,2010,2010-10-22,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.0783115174158,-55.6099438384605,""
CAAGUAZU,RAUL ARSENIO OVIEDO,SANTA TERESA,2010,2010-10-22,MALARIA,ANOPHELES STRODEI,21,S,,,-25.0783115174158,-55.6099438384605,""
CAAGUAZU,MARISCAL LOPEZ,MIL PALO E YVY MOROTI,2010,2010-10-22,MALARIA,ANOPHELES DARLINGI,21,S,,,-25.0077263700776,-55.5000028624113,""
CAAGUAZU,MARISCAL LOPEZ,MIL PALO E YVY MOROTI,2010,2010-10-22,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.0077263700776,-55.5000028624113,""
CAAGUAZU,MARISCAL LOPEZ,MIL PALO E YVY MOROTI,2010,2010-10-22,MALARIA,ANOPHELES STRODEI,21,S,,,-25.0077263700776,-55.5000028624113,""
CENTRAL,LUQUE,ZARATE ISLA,2010,2010-09-03,MALARIA,ANOPHELES STRODEI,21,S,,,-25.2277628520941,-57.4956033306231,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.4728421010435,-54.6382897598387,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES STRODEI,21,S,,,-25.4728421010435,-54.6382897598387,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES ALBITARSIS,21,S,,,-25.4728421010435,-54.6382897598387,""
ALTO PARANA,CIUDAD DEL ESTE,DON BOSCO,2009,2009-12-04,MALARIA,ANOPHELES ARGYRITARSIS,21,S,,,-25.4728421010435,-54.6382897598387,""
