DEPARTAMENTO,DISTRITO,LOCALIDAD,ANO,FECHA,ENFERMEDAD,ESPECIE,UTM_ZONA,UTM_HEMISFERIO,UTM_X,UTM_Y,LAT,LONG,TIPO_DE_GEORREFERENCIACION
CAPITAL,ASUNCION,OBRERO,2004,2004-10-06,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,435603,7201326,-25.3031910691051,-57.6397348917461,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ASUNCION,OBRERO,2004,2004-10-06,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,435603,7201326,-25.3031910691051,-57.6397348917461,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ASUNCION,ZEVALLOS CUE,2004,2004-03-26,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,443518,7208902,-25.2350974373717,-57.5607941678929,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,SAN ANTONIO,SAN BLAS,2004,2004-04-19,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,443226,7188753,-25.4170370118266,-57.5645364295715,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,SAN ANTONIO,SAN BLAS,2004,2004-04-19,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,443226,7188753,-25.4170370118266,-57.5645364295715,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,J.A. SALDIVAR,ALDANA CANADA,2004,2004-02-19,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,458602,7190539,-25.4014164846185,-57.41159301339,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,J.A. SALDIVAR,ALDANA CANADA,2004,2004-02-19,LEISHMANIOSIS,NYSSOMYIA NEIVAI,21,S,458602,7190539,-25.4014164846185,-57.41159301339,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ITAUGUA,ALDANA CANADA,2004,2004-02-19,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,458602,7190539,-25.4014164846185,-57.41159301339,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ITAUGUA,ALDANA CANADA,2004,2004-02-19,LEISHMANIOSIS,NYSSOMYIA NEIVAI,21,S,458602,7190539,-25.4014164846185,-57.41159301339,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,CAPIATA,ALDANA CANADA,2004,2004-02-19,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,458602,7190539,-25.4014164846185,-57.41159301339,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,CAPIATA,ALDANA CANADA,2004,2004-02-19,LEISHMANIOSIS,NYSSOMYIA NEIVAI,21,S,458602,7190539,-25.4014164846185,-57.41159301339,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,SAN LORENZO,SANTISIMA TRINIDAD,2004,2004-02-17,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,448877,7194828,-25.362383253865,-57.5081174476679,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ASUNCION,R.L.PETTIT,2004,2004-04-19,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,435307,7200193,-25.3134094385507,-57.6427292538633,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ASUNCION,R.L.PETTIT,2004,2004-04-19,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,435307,7200193,-25.3134094385507,-57.6427292538633,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ASUNCION,REPUBLICANO,2004,2004-05-18,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,436218,7199332,-25.3212235791109,-57.6337193086048,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CAPITAL,ASUNCION,SAN VICENTE,2004,2004-10-20,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,437127,7200126,-25.314092182192,-57.6246513987438,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CENTRAL,YPANE,CENTRO,2005,2005-01-28,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,449104,7183938,-25.4607302924884,-57.5062717413432,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CENTRAL,LAMBARE,VILLA PAZ DEL CHACO,2009,2009-09-09,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,438048,7195761,-25.3535473241846,-57.61570097058,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CENTRAL,LAMBARE,KENNEDY,2005,2005-12-01,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,436362,7196579,-25.3460896794276,-57.6324178214506,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
CENTRAL,LAMBARE,CENTRO URBANO,2005,2005-12-01,LEISHMANIOSIS,LUTZOMYIA LONGIPALPIS,21,S,436846,7196528,-25.3465707895923,-57.6276105618453,DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA
