DEPARTAMENTO,DISTRITO,LOCALIDAD,ANO,FECHA,ENFERMEDAD,ESPECIE,UTM_ZONA,UTM_HEMISFERIO,UTM_X,UTM_Y,LAT,LONG,TIPO_DE_GEORREFERENCIACION
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO DIANA COL. INDIGENA,2011,,CHAGAS,TRIATOMA SORDIDA,21,S,378113,7759699,-20.2565467365057,-57.1670501183527,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,PUERTO ESPERANZA,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,SAN CARLOS,2012,,CHAGAS,TRIATOMA GUASAYANA,21,S,346045,7701301,-20.7817519378777,-57.4790871587617,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,BAHIA NEGRA,SIN DATO,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,389612,7743975,-20.3993082050833,-57.0579294007909,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,FUERTE OLIMPO,BARRIO SAN BLAS,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,225466,7482727,-21.0513030651769,-57.8747848443084,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,FUERTE OLIMPO,BARRIO SAN BLAS,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,225466,7482727,-21.0513030651769,-57.8747848443084,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,FUERTE OLIMPO,BARRIO SAN BLAS,2012,,CHAGAS,TRIATOMA GUASAYANA,21,S,225466,7482727,-21.0513030651769,-57.8747848443084,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,FUERTE OLIMPO,BARRIO SAN BLAS,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,225466,7482727,-21.0513030651769,-57.8747848443084,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,FUERTE OLIMPO,BARRIO SAN BLAS,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,225466,7482727,-21.0513030651769,-57.8747848443084,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,FUERTE OLIMPO,BARRIO SAN BLAS,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,225466,7482727,-21.0513030651769,-57.8747848443084,DATOS CONSIGNADOS EN GABINETE
ALTO PARAGUAY,FUERTE OLIMPO,BARRIO SAN BLAS,2012,,CHAGAS,TRIATOMA SORDIDA,21,S,225466,7482727,-21.0513030651769,-57.8747848443084,DATOS CONSIGNADOS EN GABINETE
