DEPARTMENT,DISTRICT,LOCALITY,YEAR,DATE,DISEASE,SPECIES_RAW,UTM_ZONE,UTM_HEMISPHERE,UTM_X,UTM_Y,LAT,LONG,GEOREFERENCING_TYPE,DATA_SOURCE,SPECIES_CLEAN,SPECIES_MATCHED,STATUS,CONFIDENCE,KINGDOM,PHYLUM,ORDER,FAMILY,GENUS,SPECIES,SPECIES_AI_Correct,Justification,Gemini_AI.app,GEOREFERENCING_TYPE_CLEAN,coordinateUncertaintyInMeters
ALTO PARANÁ,CIUDAD DEL ESTE,BOQUERON,1998,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,739214,7174849,-25.5243384850819,-54.6196558291924,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,MBARACUAYU,PUERTO INDIO,1998,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,754347,7241241,-24.9228259785297,-54.4815574967308,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,MINGA GUAZU,,1998,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,716973,7177363,-25.5050798079616,-54.841244039619,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,HERNNANDARIAS,CANTERO DE ITAIPU,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,738607,7186883,-25.4158568379594,-54.6278236148938,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
ALTO PARANÁ,HERNNANDARIAS,ROMERO CUE,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,736315,7197811,-25.3176191371733,-54.6525017253725,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
BOQUERÓN,MARISCAL ESTIGARRIBIA,FILADELFIA,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,188523,7524356,-22.3585564507294,-60.0242373355987,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
BOQUERÓN,MARISCAL ESTIGARRIBIA,LOMA PLATA,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,209480,7522010,-22.3833971769658,-59.8213813739427,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CENTRAL,VILLA ELISA,MBOCAYATY,2000,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,442019,7192422,-25.3838588279964,-57.5763804215462,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
CANINDEYÚ,FRANCISCO CABALLERO ALVAREZ,,2001,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,737564,7326638,-24.1549137191981,-54.6619519943512,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
GUAIRÁ,NUMI,MICROCENTRO,2001,,FIEBRE AMARILLA URBANA,AEDES ALBOPICTUS,21,S,567479,7129878,-25.9482091640274,-56.3260386033919,GABINETE,Dataset_aedes_albopictus.csv,AEDES ALBOPICTUS,"Aedes albopictus (Skuse, 1894)",ACCEPTED,99,Animalia,Arthropoda,Diptera,Culicidae,Aedes,Aedes albopictus,"Aedes (Stegomyia) albopictus (Skuse, 1894)","Aedes albopictus, commonly known as the Asian tiger mosquito, is one of the most significant invasive vectors of human pathogens globally. It is a highly competent vector for several arboviruses, most notably Dengue (all four serotypes), Chikungunya, and Zika. Unlike Aedes aegypti, which is highly anthropophilic, Ae. albopictus is an opportunistic feeder (eclectic), biting humans, mammals, and birds, which allows it to act as a ""bridge vector"" for zoonotic diseases such as West Nile virus and various Encephalitis viruses. Furthermore, it is a primary vector for the filarial nematodes Dirofilaria immitis and Dirofilaria repens. Its ecological plasticity, particularly its ability to undergo diapause in the egg stage, has allowed it to colonize temperate regions, significantly expanding the geographical risk area for tropical diseases.",https://gemini.google.com/share/1becd26ba066,Gabinete (Google Maps),150
