departamento,distrito,ano,fecha,localidad,ENFERMEDAD,ESPECIES,UTM_ZONA,UTM_HEMISFERIO,LATITU,LONGITUD,TIPO DE COLECTA,TIPO DE GEORREFERENCIACION,OBSERVACION
CORDILLERA,SAN BERNARDINO,2009,2009-04-27 00:00:00,CIERVO CUA,MALARIA,ANOPHELES ALBITARSIS,21,S,-25.2813518966742,-57.300926702335985,campo,,
CORDILLERA,SAN BERNARDINO,2009,2009-04-27 00:00:00,CIERVO CUA,MALARIA,ANOPHELES NOROESTENSIS,21,S,-25.2813518966742,-57.300926702335985,campo,,
CORDILLERA,SAN BERNARDINO,2009,2009-04-27 00:00:00,CIERVO CUA,MALARIA,ANOPHELES STRODEI,21,S,-25.281351896674238,-57.300926702335985,campo,,
CORDILLERA,SAN BERNARDINO,2009,2009-04-27 00:00:00,CIERVO CUA,MALARIA,ANOPHELES ALBITARSIS,21,S,-25.283830104168125,-57.2990555359185,campo,,
CORDILLERA,SAN BERNARDINO,2009,2009-04-27 00:00:00,CIERVO CUA,MALARIA,ANOPHELES NOROESTENSIS,21,S,-25.283830104168125,-57.2990555359185,campo,,
CORDILLERA,SAN BERNARDINO,2009,2009-04-27 00:00:00,CIERVO CUA,MALARIA,ANOPHELES STRODEI,21,S,-25.283830104168125,-57.2990555359185,campo,,
SAN PEDRO,GUAYAIBI,2009,2009-04-24 00:00:00,SAN PEDRO,MALARIA,ANOPHELES STRODEI,21,S,-24.389721106394962,-56.385870647581804,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES STRODEI,21,S,-24.906565071696054,-54.48869642978502,campo,,
SAN PEDRO,GUAYAIBI,2009,2009-04-24 00:00:00,SAN PEDRO,MALARIA,ANOPHELES STRODEI,21,S,-24.383739662697508,-56.354818192498,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES STRODEI,21,S,-24.918249478442412,-54.49706034039017,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES EVANSAE,21,S,-24.906565071696054,-54.48869642978502,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES ALBITARSIS,21,S,-24.906345820098906,-54.45765680215038,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES ARGYRITARSIS,21,S,-24.906345820098906,-54.45765680215038,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES STRODEI,21,S,-24.906345820098906,-54.45765680215038,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES EVANSAE,21,S,-24.906345820098906,-54.45765680215038,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES (COMPLEJO) ALBITARSIS,21,S,-24.906345820098906,-54.45765680215038,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES EVANSAE,21,S,-24.918249478442412,-54.49706034039017,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES ALBITARSIS,21,S,-24.918249478442412,-54.49706034039017,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES ARGYRITARSIS,21,S,-24.918249478442412,-54.49706034039017,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES STRODEI,21,S,-24.918249478442412,-54.49706034039017,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES EVANSAE,21,S,-24.918249478442412,-54.49706034039017,campo,,
ALTO PARANA,MBARACAYU,2009,2009-12-04 00:00:00,PRIMER GOBERNADOR,MALARIA,ANOPHELES (COMPLEJO) ALBITARSIS,21,S,-24.918249478442412,-54.49706034039017,campo,,
ALTO PARANA,CIUDAD DEL ESTE,2009,2009-12-04 00:00:00,DON BOSCO,MALARIA,ANOPHELES ALBITARSIS,21,S,-25.463819668282486,-54.63792914586312,campo,,
ALTO PARANA,CIUDAD DEL ESTE,2009,2009-12-04 00:00:00,DON BOSCO,MALARIA,ANOPHELES STRODEI,21,S,-25.463819668282486,-54.63792914586312,campo,,
ALTO PARANA,CIUDAD DEL ESTE,2009,2009-12-04 00:00:00,DON BOSCO,MALARIA,ANOPHELES ALBITARSIS,21,S,-25.473331883625704,-54.64124318692076,campo,,
ALTO PARANA,CIUDAD DEL ESTE,2009,2009-12-04 00:00:00,DON BOSCO,MALARIA,ANOPHELES ARGYRITARSIS,21,S,-25.473331883625704,-54.64124318692076,campo,,
ALTO PARANA,CIUDAD DEL ESTE,2009,2009-12-04 00:00:00,DON BOSCO,MALARIA,ANOPHELES PARVUS,21,S,-25.473331883625704,-54.64124318692076,campo,,
ALTO PARANA,CIUDAD DEL ESTE,2009,2009-12-04 00:00:00,DON BOSCO,MALARIA,ANOPHELES EVANSAE,21,S,-25.473331883625704,-54.64124318692076,campo,,
CENTRAL,LIMPIO,2010,2010-01-08 00:00:00,PIQUETE CUE,MALARIA,ANOPHELES ALBITARSIS,21,S,-25.109767142119523,-57.48772741859461,campo,,
CENTRAL,ITA,2010,2010-01-22 00:00:00,SAN ANTONIO,MALARIA,ANOPHELES ALBITARSIS,21,S,-25.515763949108486,-57.36551789146552,campo,,
CAAGUAZU,RAUL ARSENIO OVIEDO,2010,2010-10-22 00:00:00,SANTA TERESA,MALARIA,ANOPHELES DARLINGI,21,S,-25.07831151741582,-55.609943838460495,campo,,
CAAGUAZU,RAUL ARSENIO OVIEDO,2010,2010-10-22 00:00:00,SANTA TERESA,MALARIA,ANOPHELES ALBITARSIS,21,S,-25.07831151741582,-55.609943838460495,campo,,
