source_file;sub_dataset;id_observation;consortium;period;Zona_i_period;Zona_period;location_id;barrio_tpd;barrio_senepa;barrio_censo;Y;X;visit_date;visit_day;visit_month;visit_year;x1;y1
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA00286;SENEPA;E1;Control_1E1;ContE1;l_148100001;Santa_Ana;Santa_Ana;Santa_Ana;7200165.618;434791.7553;2018-04-03;3;4;2018;-57.64784931;-25.31363419
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA00303;SENEPA;E1;Control_1E1;ContE1;l_148100004;Santa_Ana;Santa_Ana;Santa_Ana;7200197.691;434813.4911;2018-04-03;3;4;2018;-57.64763183;-25.31334551
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA00632;SENEPA;E1;Control_1E1;ContE1;l_151000001;Santa_Ana;Santa_Ana;Santa_Ana;7200049.419;434761.7242;2018-04-03;3;4;2018;-57.64815324;-25.31468217
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA00771;SENEPA;E1;Control_2E1;ContE1;l_152400002;Villa_Bartolo;Santa_Ana;Santa_Ana;7200009.652;434587.2541;2018-04-03;3;4;2018;-57.64988846;-25.31503364
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA00859;SENEPA;E1;Control_1E1;ContE1;l_154100003;Santa_Ana;Santa_Ana;Santa_Ana;7199897.844;434745.1441;2018-04-03;3;4;2018;-57.64832524;-25.31605019
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA01382;SENEPA;E1;Zona_1E1;ZonaE1;l_158500002;San_Ignacio;San_Cayetano;San_Cayetano;7199531.091;435128.5404;2018-04-03;3;4;2018;-57.64453381;-25.31937872
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA01390;SENEPA;E1;Zona_1E1;ZonaE1;l_158500003;San_Ignacio;San_Cayetano;San_Cayetano;7199544.71;435112.3023;2018-04-03;3;4;2018;-57.64469449;-25.31925503
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA01704;SENEPA;E1;Control_2E1;ContE1;l_288300004;Santa_Rosa;Santa_Ana;Santa_Ana;7199844.353;434550.969;2018-04-03;3;4;2018;-57.65025691;-25.31652472
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA02012;SENEPA;E1;Control_2E1;ContE1;l_288800001;Santa_Rosa;Santa_Ana;Santa_Ana;7199755.597;434325.355;2018-04-03;3;4;2018;-57.65250263;-25.31731629
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA02066;SENEPA;E1;Zona_2E1;ZonaE1;l_289150002;San_Cayetano;San_Cayetano;San_Cayetano;7199451.44;434930.068;2018-04-03;3;4;2018;-57.64650946;-25.32008934
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA02084;SENEPA;E1;Zona_2E1;ZonaE1;l_289150004;San_Cayetano;San_Cayetano;San_Cayetano;7199464.353;434933.1561;2018-04-03;3;4;2018;-57.64647817;-25.31997287
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA02178;SENEPA;E1;Zona_2E1;ZonaE1;l_289600002;Caacupemi;San_Cayetano;San_Cayetano;7199462.875;435032.9429;2018-04-03;3;4;2018;-57.64548684;-25.31999056
Encuestas_Entomologicas_ProfesioNAles_Simplificado.xls;recipientes;SENEPA02180;SENEPA;E1;Zona_2E1;ZonaE1;l_289600003;Caacupemi;San_Cayetano;San_Cayetano;7199462.32;435042.5124;2018-04-03;3;4;2018;-57.6453918;-25.31999599
