row_id,timestamp,departamento_original,departamento_std,note
15,2026-04-02T10:22:46Z,PTE HAYES,PRESIDENTE HAYES,Standardized
92,2026-04-02T10:22:46Z,PTE HAYES,PRESIDENTE HAYES,Standardized
1904,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1905,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1906,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1907,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1908,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1909,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1910,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1911,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1912,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1913,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1914,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1915,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1916,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1917,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1918,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
1919,2026-04-02T10:22:46Z,CAPITAL,ASUNCIÓN,Standardized
2023,2026-04-02T10:22:46Z,GUIRA,GUAIRÁ,Standardized
2024,2026-04-02T10:22:46Z,GUIRA,GUAIRÁ,Standardized
2025,2026-04-02T10:22:46Z,GUIRA,GUAIRÁ,Standardized
2509,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2510,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2529,2026-04-02T10:22:46Z,PTE HAYES,PRESIDENTE HAYES,Standardized
2543,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2544,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2545,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2546,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2547,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2637,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2638,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2639,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2640,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2641,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2642,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2643,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2644,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2645,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
2646,2026-04-02T10:22:46Z,PDTE HAYES,PRESIDENTE HAYES,Standardized
5726,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5727,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5728,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5729,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5730,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5731,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5732,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5733,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5734,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5735,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5736,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5737,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5738,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5739,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5740,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5741,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5742,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
5743,2026-04-02T10:22:46Z,PTE. HAYES,PRESIDENTE HAYES,Standardized
