timestamp,step,description,rows_affected,variables,operator
2026-04-02 06:41:47.857176,import,Imported Base_Flebotomos_ProcesadaV2.xlsx,1088,"Fecha, ANO, Departamento, Distrito, Localidad/Barrio, Genero, Especie, UTM_X, UTM_Y, LAT, LONG, TIPO_DE_GEORREFERENCIACION",Pastor-Diego-Oscar
2026-04-02 06:41:47.996548,import,Imported base_triatominos2008_2023_copia.xlsx,5468,"...1, DEPARTAMENTO, DISTRITO, LOCALIDAD, ANO, ESPECIE, UTM X, UTM Y, LAT, LONG, ...11, Tipo de georreferenciacion",Pastor-Diego-Oscar
2026-04-02 06:41:48.034834,import,Imported full_df_Topa.csv,11828,"source_file, sub_dataset, id_observation, consortium, period, Zona_i_period, Zona_period, location_id, barrio_tpd, barrio_senepa, barrio_censo, Y, X, visit_date, visit_day, visit_month, visit_year, x1, y1",Pastor-Diego-Oscar
2026-04-02 06:41:48.066532,import,Imported base_aedes_albopictus.xlsx,132,"Departamento, Distrito, Localidad, Ano, Fecha, Genero/Especie, UTM_X, UTM_Y, LAT, LONG, Observación, tipo de georreferenciacion",Pastor-Diego-Oscar
2026-04-02 06:41:48.097022,import,Imported dataset_malariaPIV01.csv,1872,"departamento, distrito, ano, fecha, localidad, ENFERMEDAD, ESPECIES, UTM_ZONA, UTM_HEMISFERIO, LATITU, LONGITUD, TIPO DE COLECTA, TIPO DE GEORREFERENCIACION, OBSERVACION",Pastor-Diego-Oscar
2026-04-02 06:41:48.13108,import,Imported BaseFA_2025.xlsx,581,"departamento, distrito, locality, especie, Latitude, Longitude, ano, mes, dia, cantidad",Pastor-Diego-Oscar
2026-04-02 06:41:48.159863,standardize_names,Standardized column names for df_0 (UPPERCASE + removed non-alphabetic characters),0,"FECHA, ANO, DEPARTAMENTO, DISTRITO, LOCALIDAD_BARRIO, GENERO, ESPECIE, UTM_X, UTM_Y, LAT, LONG, TIPO_DE_GEORREFERENCIACION",Pastor-Diego-Oscar
2026-04-02 06:41:48.179359,standardize_names,Standardized column names for df_1 (UPPERCASE + removed non-alphabetic characters),0,"____, DEPARTAMENTO, DISTRITO, LOCALIDAD, ANO, ESPECIE, UTM_X, UTM_Y, LAT, LONG, _____, TIPO_DE_GEORREFERENCIACION",Pastor-Diego-Oscar
2026-04-02 06:41:48.181239,standardize_names,Standardized column names for df_2 (UPPERCASE + removed non-alphabetic characters),0,"SOURCE_FILE, SUB_DATASET, ID_OBSERVATION, CONSORTIUM, PERIOD, ZONA_I_PERIOD, ZONA_PERIOD, LOCATION_ID, BARRIO_TPD, BARRIO_SENEPA, BARRIO_CENSO, Y, X, VISIT_DATE, VISIT_DAY, VISIT_MONTH, VISIT_YEAR, X_, Y_",Pastor-Diego-Oscar
2026-04-02 06:41:48.182653,standardize_names,Standardized column names for df_3 (UPPERCASE + removed non-alphabetic characters),0,"DEPARTAMENTO, DISTRITO, LOCALIDAD, ANO, FECHA, GENERO_ESPECIE, UTM_X, UTM_Y, LAT, LONG, OBSERVACIÓN, TIPO_DE_GEORREFERENCIACION",Pastor-Diego-Oscar
2026-04-02 06:41:48.184371,standardize_names,Standardized column names for df_4 (UPPERCASE + removed non-alphabetic characters),0,"DEPARTAMENTO, DISTRITO, ANO, FECHA, LOCALIDAD, ENFERMEDAD, ESPECIES, UTM_ZONA, UTM_HEMISFERIO, LATITU, LONGITUD, TIPO_DE_COLECTA, TIPO_DE_GEORREFERENCIACION, OBSERVACION",Pastor-Diego-Oscar
2026-04-02 06:41:48.185643,standardize_names,Standardized column names for df_5 (UPPERCASE + removed non-alphabetic characters),0,"DEPARTAMENTO, DISTRITO, LOCALITY, ESPECIE, LATITUDE, LONGITUDE, ANO, MES, DIA, CANTIDAD",Pastor-Diego-Oscar
2026-04-02 06:41:48.245979,process_df_0,"Processed Phlebotomine dataset: uppercase conversion, NA normalization, ASCII transliteration, year cleaning, species concatenation, UTM assignment, column selection, and spatial validation.",1088,"DEPARTAMENTO, DISTRITO, LOCALIDAD, ANO, FECHA, ENFERMEDAD, ESPECIE, UTM_ZONA, UTM_HEMISFERIO, UTM_X, UTM_Y, LAT, LONG, TIPO_DE_GEORREFERENCIACION",Pastor-Diego-Oscar
2026-04-02 06:41:48.440489,process_df_1,"Processed Triatomine dataset: uppercase conversion, NA normalization, ASCII transliteration, corrections to DEPARTAMENTO/DISTRITO/LOCALIDAD, year cleaning, georeferencing field standardization, species name harmonization, UTM assignment, column selection, and spatial validation.",5468,"DEPARTAMENTO, DISTRITO, LOCALIDAD, ANO, FECHA, ENFERMEDAD, ESPECIE, UTM_ZONA, UTM_HEMISFERIO, UTM_X, UTM_Y, LAT, LONG, TIPO_DE_GEORREFERENCIACION",Pastor-Diego-Oscar
2026-04-02 06:41:48.720002,process_df_2,"Processed Aedes aegypti dataset: uppercase conversion, NA normalization, ASCII transliteration, year cleaning, administrative assignment, species/disease tagging, coordinate mapping, UTM assignment, column selection, and spatial validation.",11828,"DEPARTAMENTO, DISTRITO, LOCALIDAD, ANO, FECHA, ENFERMEDAD, ESPECIE, UTM_ZONA, UTM_HEMISFERIO, UTM_X, UTM_Y, LAT, LONG, TIPO_DE_GEORREFERENCIACION",Pastor-Diego-Oscar
