GEOREFERENCING_TYPE	Count	Percentage
DATOS CONSIGNADOS EN GABINETE	4085	20.1291021976939
	1480	7.29279590026609
DATOS CONSIGNADOS POR EL OPERADOR DE CAMPO DEL SENEPA	1275	6.28264511678329
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E3	970	4.77973785355277
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_1E3	873	4.3017640681975
TOPADENGUE_REGISTROCOMUNITARIO.XLSX INSPECTIONS_SUMMARY_VIEW_NODUPL ZONA_2INT3	779	3.83857297723465
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_2E1	720	3.5478466541835
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_1E1	706	3.47886074701882
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_2E2	704	3.46900561742387
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_2E2	685	3.37538188627181
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_2E1	684	3.37045432147433
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_2E3	668	3.29161328471469
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E2	641	3.15856903518281
TOPADENGUE_REGISTROCOMUNITARIO.XLSX INSPECTIONS_SUMMARY_VIEW_NODUPL ZONA_1INT3	635	3.12900364639795
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_1E2	621	3.06001773923327
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E1	562	2.76929141618212
DATOS CONSIGNADOS POR EL OPERADOR DEL SENEPA	546	2.69045037942249
GABINETE	522	2.57218882428304
TOPADENGUE_REGISTROCOMUNITARIO.XLSX INSPECTIONS_SUMMARY_VIEW_NODUPL ZONA_2INT2	445	2.1927663348773
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_2E3	439	2.16320094609244
TOPADENGUE_REGISTROCOMUNITARIO.XLSX INSPECTIONS_SUMMARY_VIEW_NODUPL ZONA_1INT2	283	1.39450083768602
CENTROIDE LOCALIDAD	268	1.32058736572386
DATOS CONSIGNADOS EN CAMPO CENTROIDE DE LOCALIDAD	248	1.22203606977432
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES CONTROL_1E4	234	1.15305016260964
DATOS CONSIGNADOS EN GABINETE CENTROIDE DE LOCALIDAD	203	1.00029565388785
ENCUESTAS_ENTOMOLOGICAS_PROFESIONALES_SIMPLIFICADO.XLS RECIPIENTES ZONA_1E4	140	0.689859071646792
TOPADENGUE_REGISTROCOMUNITARIO.XLSX INSPECTIONS_SUMMARY_VIEW_NODUPL ZONA_1INT4	132	0.650438553266976
DATOS CONSIGNADOS EN GABINETE CENTROIDE DE DISTRITO	114	0.561742386912388
TOPADENGUE_REGISTRO_COMUNITARIO.XLSX INSPECTIONS_SUMMARY_VIEW_NODUPL ZONA_2INT3	110	0.54203212772248
