DEPARTMENT	CHAGAS	FIEBRE AMARILLA	FIEBRE AMARILLA URBANA	LEISHMANIOSIS	MALARIA	DENGUE	Total_Row
CENTRAL	10	45	8	122	157	11502	11844
PRESIDENTE HAYES	1255	5	2	18	28	0	1308
CONCEPCIÓN	1038	11	0	70	46	0	1165
CORDILLERA	663	58	0	121	45	0	887
BOQUERÓN	777	12	2	22	10	0	823
PARAGUARÍ	377	45	2	148	76	0	648
ALTO PARANÁ	3	107	19	32	473	0	634
SAN PEDRO	286	94	7	29	98	0	514
Not specified	437	0	0	0	0	0	437
GUAIRÁ	162	30	1	89	85	0	367
CAAGUAZÚ	59	47	0	51	209	0	366
CANINDEYÚ	0	18	78	13	189	0	298
ALTO PARAGUAY	208	1	1	18	45	0	273
ITAPÚA	34	19	0	74	62	0	189
ÑEEMBUCÚ	3	29	1	27	109	0	169
MISIONES	34	25	0	39	61	0	159
CAAZAPÁ	21	18	0	23	61	0	123
AMAMBAY	11	0	1	34	26	0	72
ASUNCIÓN	1	1	0	16	0	0	18
TOTAL	5379	565	122	946	1780	11502	20294
